target,texts
1,Museum that was a Fort built by Yogyakarta King as requested by Netherland Governor.
1,A well kept gem from the Dutch colonial era in the heart of Yogyakarta. 
1,A well maintained historical building in Yogyakarta.  
1,The fort is now a history museum in Yogyakarta. Really like the classic building in the Vredeburg Museumt.  
1,There is also lots of space for kids to run around outside as well .
1,This is absolutely one of the must-visit museums in Jogja  . 
1,"located on Jalan Ahmad Yani No. 6, Yogyakarta City. It is super easy to get there and a must visit when in Jogja."
1,"there are 3 building, complete with air condition, good education for kids about Indonesia history"
1,Entrance ticket is only IDR. 3k.
1,"While walking around, it turned out that an art performance was also being held, luckily"
1,A good place to know the city deeper.
1,"Learn and fun combined into one place, and you only need Rp3000 to have an access ticket. "
1,Have a rich information about history shown on diorama   interactive information panel.
1,The fortress is in good condition and offers the complete history on Indonesia early efforts to gain independence.
1,Fort Vredeburg is a historical place in Yogyakarta. We can learn the history of Indonesian Movement. Ticket is 3K IDR
1,Love this museum for history & relax after long walk at Malioboro. Tickets also cheap 3K   local person.
1,"They have their own parking space beside the fort so if you are bringing a car or a motorcycle, you'll have a dedicated space to park your vehicle. Its a very short walk from the parking space to the fort."
1,"Such a good place for kids to explore science and others here. From biology to physics, history to gamelan. "
1,"In here your kids can learn many things: art, tech, outer space, engineering, etc. They can also play in these places. "
1,"This is a nice place to play and learn with a low price, If you come on weekdays you will often meet groups of elementary school or kindergarten children. "
1,well maintained
1,Good educational place for students range from child to teens. 
1,"Such a very good place for children to learn, from science to art. "
1,Good place for kids. 
1,This thing must be promoted to entire school like why cant they have this announced on them like atleast once? 
1,Playing and studying. explaining knowledge to the kid with playing methods.hight tech untill exploring the culture.
1,Kids can get important scitific info and basic principles of technical phenomena. 
1,"running an event on the societet building. great building, "
1,Taman Pintar is a great place for our children to know about science. 
1,The main building is big and has a lot of expositions. 
1,Highly recommended place of childrens and families to play and learn something from every models based on the physics law. 
1,"IIf you take your children here, it is the best place for them"
1,Very good place for family member to bring your kids here.
1,"With that friendly price, this is a good place to hang out with the kids."
1,"Best place to learn all about science. All is fun and maintains. The place is in heart of Yogyakarta. Near malioboro,titik nol,and all the attraction"
1,A place which gives you education and entertainment as well. It's a good place to go with your family and friends. 
1,"This park is for everyone. The kids will sure like them, but the adults will also find this place excellent spot for relaxing in afternoon."
0,"hard to find this place on google maps, the entrance is on the side of the main road, a little hard to find for tourists."
1,"This edu park located in the city center of Jogjakarta is very interesting. Apart from the science on display, visitors can try and experience the science directly. "
1,"Beside exploring about science, we also can explore our art. The art's exploring activities are batik making, t-shirt painting and pottery painting. "
1,You will have such a new experience when you never visit such this place. 
1,Kids will be happy to visit this place. Such a nice place to learn and play. 
1,Nothing much. You can go to here for free. 
1,A one stop destination for family holiday.  
1,This park combines recreational and educational attractions in one location.
1,Happiness time to get more activities with family. 
1,Huge place with tons of science and education 
1,thank you they are very happy to enjoy the activities in this place. 
1,There's a lot that can be done. Take a selfie or use a photography service. Jogja just makes me miss you. ðŸ¤­
1,"It is an ideal place to know Javanese culture, enjoy the traditional dance and gamelan."
1,"The entrance fee is just nominal, only 10k."
1,Thanks Sultan family for providing us visitor such a good opportunity to have a good time in this palace in Yogyakarta
1,"Everywhere is worth seeing, everyone behaves with courtesy."
0,You'd better show a warning sign in English 
0,"If you want to take some photos, it costs you Rp. 1000."
1,"Great historical place to visit, love the ambience."
1,"Recommend to bring your kids here, so they can learn the culture."
0,It is crowded during weekends or public holiday.
1,Recommend to bring your kids here. 
1,Recommended to stay throughout 
1,"Great place to experience the Javanese culture, enjoy the traditional dance and gamelan. "
1,It is nice that the Sultan and his family allows locals and foreigners to have a good opportunity to be able to immerse into the Javanese culture 
1,"If you're lucky, you can meet ""abdi dalem"" and see art performances by local performers"
1,Very great museum 
1,"The complex is a center of javanese culture, and contains a museum displaying royal artifacts."
0,"Not worth the IDR 15,000 per person (for foreigners)."
1,"Nice Wayang puppet performance, probably the most interesting of the whole palace."
1,That was a 1st in Asia and ridiculous to say the least.
0,Big gardens and men who forbid you to wear a sun hat at the hottest time of the day but refuse to give you a reason why
1,"the entrance ticket is very cheap, only 8k rupiah (around 50 cents)."
0,But somehow this place is not well managed
1," You can see some of the relic stuff there very dusty, tunic is worn, etc."
0,"I don't know, maybe they don't have enough budget to maintain or the standards is just like that. I hope in the future they could improve it."
1,As a visitor sometimes i came in here not in the weekend and just bring myself to understand more and study more from what i have learned
1, It is such a great place in the center of Yogyakarta to see place where Jogja's king live
1,This place just have a calm vibes and peaceful.
1, The trees there and the servants who work in here they are so proud.
1,The building designed was so nice.
1,It is a quite big palace actually because there are a lot to see and learn in this palace. 
1,"If you are interested in the Sultan history, you can go and take a look but I guess not many foreigners are."
0," the first part of palace exhibits some old horse carriages and ancient vehicles but are totally not exciting,"
0,"There is also a small temporary exhibition that tells the story abt a couple of sultan Kings, but at some point the timeline is not arranged in chronological order and you get confused. "
0,but I'd rather spend this 30k having some nice street food
0, boring af
0,"showcased a few more historical (they don't seem to have much historical value to me tbh) items, no tour guide, and information board, no nothing, and the for puppet performance"
1,Worth to watch 
1,"You also can follow (at)kratonjogja(dot)event on Instagram to see art performances on its ""stage""."
0,"Lots of stuff to see but be careful of people outside of the area like becak driver and local parking thug, they charge IDR 50k for useless becak trip"
1, the traditional jogja architecture and the king people dress in traditional costume look very beautiful.
1,Everything is clean and well maintained
1,"The service at the reception was efficient, friendly and polite."
0,The studio for documentaries was under maintenance when I went there.
1,You could find an outdoor playground in front of the museum and it is very clean
0,Too bad the basins were mostly broken.
1,I enjoyed my visit. I would love to visit other forts and museums around Jogja next time I visit.
1,Big parking space just before the fortress makes us easy to park our car and direcly walk to the entrance.
1,Tickets is really cheap.
1,This place gives you very high value to what you will get in here.
1,"In here, you will learn actual fort building directly."
1,"Overall, it was trully an interesting experience here,"
1,"not to mention the entrance fee was very cheap, we only pally 11 k rupiah (1 adult   4 children), can you believe it "
1,Recommended to learn our own history.
1,Good history site that is displayed wonderfully.
1,Inside the museum we can see the timeline history during the declaration of Indonesia Independence.
1,The museum tried their best to present the city's history through dioramas.
0, I hope the staffs can fix them in the near future.
1,recommended place for family vacation. You must come in here when you in Jogjakarta
1,More space to get explorer your creativity and science knowledge.
1,The place will be show you more about Environmental Science in your place.
1,Smart Park has a playground as well as educational facilities which are divided into several zones.
1,Direct access to the former Shopping Center book center
1,However most of the attraction is already in run down state.
1,Really crowded in holiday season.
1,There is a mini cinema inside where you can watch short documentary about the fort's history.
1," The guides are so friendly, they explain every diorama well."
1,"Some interactive media are not working properly,"
1, The entrance fee is only IDR 3000 per person.
1,The stories and dioramas presented are very complete and interesting.
1," The museum area is neat, clean and spacious."
0,unfortunately the historical section of the vredeburg fort itself is missing.
1,In the front yard there is a playground for children. 
1,"With only Rp 3000 (adult,weekday) you can dive into this country"
1,"Just look at the place, very beautiful. "
1," Very clean, and the historical items there are well preserved."
0,"However, the parking lot is a little bit tricky"
1,"There a parking space just before the museum, so make sure you don't miss the parking entrance"
0,"Too bad the cafe is no longer operate, but there are so many cafe around the museum to chill after museum tour."
1," The ticket is quite cheap, but the collection is well maintained"
1,We also can find a playground for the kids to refresh.
1,I recommend this place as your destination lists.
1,"Located on the centre of Jogja City, near from various kind of hotel, shopping place and mass transportation. "
1,"Well, an adult also can try these activities. Well here is my batik haha"
1,"Taman Pintar offers a place to just walk out, enjoy family time, entertainment"
1,"There many informations about science, history, and many more."
1,"But of course, if you want to enjoy the other things you have to pay for it."
1,It was really fun for kids to explore their right brain of art. 
1,Unfortunately many things are not maintained well enough.
1,The colorful theme is very uplifting.
1,The place welcomes you with its water tunnel right to the symbol of diversity in Indonesia.
1,there are alot of scientific information and toy that can answer a lots of kiddo's question
0," It's too bad that when we came, the planetarium is in maintenance condition."
1,"So, Taman pintar is good choice if you want to reach the other place as mention for one time."
1,"In weekend and holiday, there is a lot of visitor even from outside Jogja. So to be patient and keep happy  ."
1,And  in the outside of Taman Pintar as park area its free for all 
1,Because a lot of educational instrument to stimulus your kids knowledge & development.
1," You can hear the sound of presidents of Indonesia, their signatures, the inscription of their feet and hands."
1," Here, you can try the simulator of several natural disasters."
1,"Our kids enjoyed the 4d movie and the rides outside, like the little boat and scooter."
1,"The place is near the kilometer zero of Jogjakarta and another main destinations of Jogjakarta, so it is really strategic and easily accessible"
1, Sadly about half of the interactive stations were off or not working
1,It's a happy place to upgrade your knowledge.
1,Parents also can play and learn together with children. 
1,"Kids enjoy a lot in dinosaur world, future vision, on swings and especially fountain bath."
1,I wish a lot of school implemented to visit this atleast once just because i felt this has to be the most fun recreational place i visited
0,Only minus is the maintenance is not really good.
0,Update on October 2022: maintenance is still lacking a lot.
0,Thus many activities are not possible because broken. 
1,Fortunately there still are things to see about culture and knowledge interesting for kids to learn.
1,It's so good for kids to learn new things and giving them more view and also interest 
1,awesome and scheduled in every visit to jogja for my kids.
0,"but unfortunately during this pandemic era, there a lot devices are prohibited or broken."
1,There are tons of fun to learn if the experimental device are available
1,Various information about many things can also be obtained here
1,Nice and interesting simulation can be found here. 
1,It was so fun guys.
1,"Ticket price was very cheap. This place near to Malioboro, just takes 15 minutes walk "
1,"Thus, I reccommend you to visit this place"
1,"The place was so nice, exciting and wonderful. "
1,"There,we could play, learn and explore anything."
1,"My kids also had the best impression and experience there, they were very happy when they visited this place. "
1,Taman Pintar was the best place I've ever visited. 
1,"Children can play indoor and outdoor, there are also cafetaria on the ground floor."
1,"There are many interactive and educative games, but they look very dull and need more maintenance, some of the games are damaged and not operating. "
1, My family had a quality time there. 
1,The parents can enjoy foods in lots of food stalls here.
1,"Wow, this is the place for you to find a decent, affordable, entertaining, near city center, all in one for the family."
1,I'm sure kids like to be here especially for those who likes dinosaurs and curious with a lot of things
1,"The park is free for everyone, it was a nice place to chill and relax. "
1,Visitors can touch and feel. 
1,"Well designed, sectioned, clean n tidy, colorful, much open arena. "
1,"They can play and learn about physic, biology, chemist, history and etc. "
1,This park combines the fear of crocodile with fun activities and various rides to know more about the big
1,It was a great experience to visit this place. 
1,Great park for fun family time. Mostly about crocodiles. 
1,We can take photos with baby crocodiles
1,"It has flying fox, trampolin platground, and give food to fishes as well."
1,Nice place for kids
1,Fun n Amazing place
1,It's fun experience especially for those who like reptiles  
1,Predator park is one of tourism place for education familys. 
1,Great place for family vacation at Batu area
1,"Predator fun park it's a family educational theme park, suitable for family recreational holiday"
1,Fun place for kids with affordable price.
1,"Great place if you want to learn about crocs, as well as having quality time by feeding the giant fishes and some salties. "
1, I am happy that I have a complete life for visiting this place in a lifetime.
0,It is not interesting enough
1,This place is so cool As cool as Kota Batu 
1,"There are plenty playable venues, quite impressed."
0,This reptile themed amusement park is a bit older and boring compared the other newer jatim park group's places
1,very exiting place
1,There are plenty of crocodiles to see
1,the crocodile well maintained
1,Nice place for learn about wild animals
1,"There's small train attraction circling the park area, large food court, and also small market where you can purchase gift of park themed shirts."
1,Great place with educational shows and great exhibits
1,Superb place for kids educations about predator animals 
1,nice place for fun with kids
1, happy fishing
1,"cheap tickets, n many kids attractions."
1,"Education park for kids, predator animal, many different kind of crocodile from small to the biggest one"
1,"  You can try fishing there, they prepare one spot for it, have fun with your kids here, "
1,"You have to come here if you want to see many wild animals. 
"
1,"fun place to hangout with your family, your friends, etc. "
1,It's a hidden gem
1,Kids had so much fun
1,It's fun in here. 
1,The place is very originally planned
1,this is very good place that I ever come
1,"this place has many play ground for your children, food court and souvenir shop."
1,You and your child can learn many facts about predator 
1,"It's a good place to learn about reptile, "
0,The theme park dont have that many attractions for adults
1,The air in this place feels very cool and fresh.
1,Very huge and spiralling complex of indoor and outdoor theme park.
1,There are some new facilities compared to the last time I went here.
1,"The place is very huge and interesting, especially for children"
1,"Kids so happy and have fun here, we need to spend all day to cover all attractive places"
1,Don't forget to bring your kids because there are lots of things to learn.
1,"It is a huge place, gives a lot of knowledge about Dinosaurs as well as some educational museums, "
1,Good place for vacation.
1,Spectacular place that you need to visit in Batu-Malamg with your children in holiday season.
1,"Huge place to visit, kids will enjoy more, "
1,Nice place for kids and family.
1,Very good place to have fun for adults and kids. 
1,A wonderful place to spend a weekend and take the children to spend a fun time on the picnic
1,I can say it's a one stop amusement park
1,Recommendation depends on with whom are you traveling with.
1,The place is an absolutely amazing
0,"many other attractions in the mall who have to pay again, disgusting"
1,Huge amusement park. There are dinosaurs attractions and wax figures.
1,Great theme park
1,The place was fun for kids
0,"too crowded, the air not fresh"
1,"A great place for kids, family, and of course photography. You can feel different countries in one day  "
1,Great place to spend time with family. We have fun and get more knowledge when visiting here.
1,Enjoy
1,they have hotel near inside the park area.
1,"this place is very nice,"
1,"A nice place for weekend hangouts, especially for Family or Kids in Group"
1,"It's amazing theme park, but the ticket is little bit pricey. There are a lot of spots to take a photo."
1,I am proud of Batu City which has many good tourist objects to visit. 
1,it's quite good and more attractive for kids
1,My favorite place in batu
1,One the best theme park in Indonesia to visit
0,kinda disappointing. 
1,One of the biggest and greatest amusement park in Indonesia
1,Visiting a theme park cannot be more exciting.
1,"Huge theme park that will take one whole day if you would like to explore everything, or maybe even two days . "
1,"Well it's great miniature of many countries such as japan, netherland, America, etc."
1,Lot of amazing experience y'all should try water area after millennial follow garden 
1,Clean bathroom located in every corner of the place
1,Good place for kids and family. So many dinosaur  and others theme for education.
1,"the park is pretty big, there're some good choices"
1,It has many places to visit in this huge place 
1,This place has a lot option for you to visit.
1,There is only one word that can describe this place. AWESOME 
1,"The newest theme park in town There are restaurants, shops, and walk through attraction like in uss. "
1,One of the best tourist attraction in East Java.
1,There's a lot of fun fun rides
0,indeed dissapointing
0,not affordable
1,The main park which is the dino park is quite big
0,"don't come here, I warned you"
1,"Musholla, nursing room, and toilets are available."
1,An amazing one stop recreation spot 
1,It is very suitable for family with kids because its educational dinosaurs theme
1,"This is actually a great place for family vacation, "
1,"Very good, nice, and an interesting place to visit"
0, surprisingly no cushioning solutions provided at all
1,"There's many interesting and attractive place to visit, such as Wax Museum, Fun Tech park, etc"
1,One stop entertainment 
1,So Recommended 
1,Great place  
1,mantap
1,great place to escape
1,Top
1,It's really really really exciting
1,"Great, a new experience for me"
1,Impressive experience
1,The rafting experience with Batu Adventure is more enjoyable
1,"Nice view,  "
1,"An extraordinary experience, wading through the exotic Batu City river and its long trails"
1,"Amazing concept, great service  Batu Adventure"
1,"It's a great, different experience to try if you go to Batu apart from other tours "
1,A very impressive fun offroad experience with friendly drivers
1,"the right outbound service for your vacation in Batu Tourism City,"
1,"Fun rafting, challenging track, cool guide."
1,Amazing rafting  the longest in East Java  
1,"Nice view, cool and cool"
1,"The service is great, the staff is friendly,"
1,mantapp
1,The service is very familiar
1,Golden moments
1,beautiful day here
1,A comfortable way to see the sights of Batu without having to bother looking for roads.
1,Recommend if you want to find a holiday atmosphere that can blend with nature. 
1,"To Batu City, you must remember Batu Adventure"
1,Enjoy an experience that is second to none and the charm of beautiful nature with new adventures . 
1,Excellent service and recommended for exploring Batu City with Batu adventure.
1,Recommended for those who want to explore the natural beauty of Batu City.
1,Awesome pollll
1,"Friendly guide, friendly guide, "
1,"Professional team,  really recommended."
1,A challenging and exciting tour
1,Very nice and friendly. Hopefully more people
1,Very good service . Top
1,"Good and communicative rafting guide service, white water field lots of exciting   "
1,"Cool outbound, with the coolest guide, thxs all"
1,"Very impressive, then go to Batu Adventure"
1,"Great, cool"
1,The most exciting and most challenging rafting in Batu city. Poke jos  
1,so good
0,too much buskers
0,buskers are annoying
0,please add more reptiles
1,For me it’s not too expensive and they gave a lot of happiness.
1,All the staff is very nice.
1,"you can see and feed animals, and in the last part of the park you have access to plenty of free games, including trampolines (bring socks), flying fox, bumper cars, swimming pool and even waterballs. "
1,Entrance fee is cheap
1,My kids love reptiles and this place was suitable to them.
1,  It has show about snake performance and it was quite interesting
1,"the entrance fee on weekend is just 60K all in, very worth it "
1,"There is many reptile animals such as crocodiles, snake, iguana an so on. "
1, The tickets relative cheap compared with the others
1,very worth it to that price
1, The foods court available with affordable price too.
1,"And the otters in here are so chatty, so cute "
1,"Oh, you can also take photos with baby croc and snake too. "
1,"This place is not so big as the others, so we won't spend a very long time here."
1,It is kinda boring.
0,I think it is the least fascinating
1,They are just too cute 
1,I would be very happy to stay here with the little pony 
1,Worth a try.
1, Also it is relatively less crowded so can relax stroll along the park with your kids
1,"it has a nice outdoor waterboom, a big indoor playground and giant trampoline"
1, this place is a great choice for it has comprehensive information about the crocs
1,Love the e bikes
1,Another great place to be with the family on vacation.
1,and there are also fun rides inside the facility.
1,its good for education and increase knowledge for the children
1, The place is nice and spacious
1,There are educational space where we can read about the origin and evolution of crocs and also several photo spot
1, The park is quite cool and there are shades all around the place so it's not too sunny.
1,ticket price cheap compare with other theme park in batu
1,"safe for kid, there are swimming pool area, play ground"
1,safe for toddlers n kindergarten group outing 
0,The place is small
1,but it has quite nice spot for taking photos and also fun for kids.
1,I’m sure they’ll love it.
1,Worth it
1,This place got so many animals
1,"Worth the price, you can see wild animals inside, especially crocodiles, alligators, and other predator fishes."
1,Great place for family activities
1,you can really feed those crocodiles and arapaima 
1," Great little outbound area, with trampoline zone and soft play area for the children for free "
1,Our children has a great time 
1,Very clean place and helpful yet friendly staff. 
1,"We can take pictures, fishing with crocodile, play angklung and many more."
1,Staff are young and playful.
1,you have the opportunity to feed a crocodile with a chicken's head on a fishing rod for IDR 5000
1,"my daughter loved this so much, we had to come back again"
1,Recomended place to see and study about predators creature especially aligators
1,thanks predator fun park batu
1,we can to learn about angklung n we can see crocodile atraction in here
1,Overall it was an okay experience. 
1,During high season it will be very crowded and you may have to be extra patient.
0,The Lintas 5 Jaman ride is not worth the wait.
0,Very long queue
0,hate this place
0,and the ride itself was way too quick
0,too crowded and feel stifled
0,Not so many food courts available and the food they provide is average.
0,However this place is not that kids-friendly
0,Kids are exposed to the smoke.
0,people are smoking everywhere and there isnt any smoking corner provided. 
1,Kids will surely love this place
1,This place is my favorite tourist spot with my family which can provide both entertainment and knowledge
1,This tour has very complete and modern facilities.
1,"Unlimited space with an entrance ticket of 30 thousand per person, there are 30 photo spots inside which are very nice and attractive, decorated with lots of glass on each side and colorful lights"
1,And in the millennial glow garden there are also many photo spots and what's even more interesting
1,  is that there are water rides and I can play in the water there
0,I'm not recommend this place for kids
1,The old previous facilities are still in a good condition.
1,"During this pandemic, the rides are disinfected after each round, and the visitors' hands are also disinfected before playing riding. Staff stick to the rules"
1, Very recommended for parents whose kids love dinos. 
0,"However, i think there are still many things that need to be improve."
0,The Dino Park 5 era is not really recommended to try
0,we have to queue for 1 hour in a hot room
0,there is no air conditioner for just to go around in less than 5 minutes
0,But kinda boring in last 6 indoor areas.
1,"Milenial Glow Garden is a good place for people who likes to taking photos, especially for teenagers. "
0,"The food court is not too many, you have to try harder to find and choose the food, even though the taste of the food is average "
1,"Overall, it's a nice and instagramble place "
0,"should be patient, the staff are slow"
1,this place really well organized. Two thumbs up.  
1,good for family recreation
1,"this place also contain some good place for selfie, "
1,happy for sure
0,just a little worried about the food center that produces so much plastic when the world is struggling to reduce plastic use.
1," If your children loves the Dinosaurus, you must visit here."
0,food are bad
1, Love it And will come again soon
1,A lot of things to do.
1,satisfied and spend an enjoyable time.  
1,"With preventive precautions for the Corona pandemic and its very reasonable cost, you will feel happy, "
1,A place of the summit of magnificence and very beautiful  
1," There is a hotel for those coming from faraway places, an integrated mall, restaurants, cafes, and fast food and enjoy the most beautiful colors"
1," wonderful lights, and amazing designs using three-dimensional projectors and watching the wonderful models of dinosaurs "
1, There are many different area that you can visit.
1,"My kids loved it, especially the colouring and drawing that came to live."
1, The Dino park was awesome
1,"It provided information about the live, the size, the extinction of dinosaur, so we can educate our kids at the same time."
0, However I noticed that several animated dinosaur were broken.
0,  The skin were ripped out probably due to the constant movement.
1,Overall it was a great experience.
0," but in fact this place is not as ""good""as they describe"
1,Of course it's still good for family recreation and etc.
1,But overall = Good
1, Such a huge park
1,Many gears there
1,So fun.
1, So enjoyable to have a time here
1,The ticket prices are affordable too
1,The staffs are friendly. Always ready to help
0,so many tenants are not ready yet.
1, For Dino Park was pretty good and lots of dinosaurs made of foam.
1,There are educational facilities and games
1,There is a nice puppet palace equal with the world famous theme park.
0,I wish I never come this place
0,But somehow too short and not many thrilling platform for bigger kids
0,"It felt really lack of something if there is no T-Rex ride or something, you know? "
1,My son liked the 3d underwater creatures
1,We might return for full enjoyment later.
0, However the queing time for each ride was super duper long. 
0,they don't have limit for visitors
0,too much rules for visitors
0, The dino world doesnt interest me as much
1," Definitely, it has set the bar high for Indonesian amusement park."
1,"However, it can be a very efficient and interesting way to introduce dino world to the kids."
1,Can't wait to visit the city again for our family next holiday 
1,Iconic photo spots  For sure.
1,Really recommended to rent the e-bike to get an easy access among the areas.
1,"Only Rp150.000 for 3 hours, worth it"
1,"Indeed  Need not to worry for getting hungry or thirsty here, food stalls are available in most of the stop points inside"
1,Well . So exciting to enjoy our holiday here.
1, Exploring the whole area might not be enough in one day 
1,"The hall of fame area offers wide range of thw wax sculpture from international athletes, famous actresses, and even certain famous football clubs' jersey."
1,"visit fun tech if you wanna experiencing play xbox kinetic, visit their haunted zombies house with several mechanic robotic zombies inside, etc"
1,and you can find a variety of food and fun rides 
1," there are so many photo spots, "
1,"there is fun tech game plaza, kinda like timezone but all the games are digital based."
1,"The main attraction is Dinosaur Museum, which gave us a lot of information about dinosaur and prehistoric life"
1,And still worth to visit.
1,Jawa Timur Park 3 is one of my fave place to visit.
0, for 100.000 rupiah it is a bit expensive tho especially when you came on pick season.
1,so many things to do here you need at minimum 2-3 days to explore
1," recommended place is Dino park, infinity world, funtech plaza, and millenium glow garden"
1,", all is very fun for family and it is a world class theme park"
1,Easy to reach from the main road in Batu
1,The parking lot is spacious enough and there are some of parking assistants who will help you to park your own car bus
1,Happy vacation 
1,"How about the inside? There are Dino Park, Historical and Worldwide theme park, restaurants, souvenir store, prayer room for Muslim and other amusing things that are amazing"
1,You won't regret to visit this gorgeous place. 
1,the Dino mall and the legends star.
0,"I do not recommend you to go after 6pm, as many of the stores is already closed."
1,this place was just so good 
0,"not fun, boring"
1,"But that was fine, worth the wait"
1,Only for 100k person (dino park only) or add some penny to get the complete package
1," Overall, it's really good and we can have quality time here with our family"
0, Only one downside: no much explanation for the dinosaurs at Dino Park which is kinda a shame.
1,ou can fill your Instagram feeds with their well-arranged photo spots
1,Perfect place for family cause it has everything for everyone
1,Not only learning about dinosaurs
1, This park has to be on ur 'have to visit' list 
1, It's well kept and looks clean.
1," Beside those countries they also had a sculpture of many public figures such as President of Indonesia, President of America, Albert Einstein, famous football player like Messi and other public figure."
0,it have to be cleaned
0,it's not tourist place
1,This park is good for family also teenagers who like to hang out with friends.
0,this place is crowded and kids easy to get lost.
0,On holidays it will be pretty crowded inside.
1," the dino park is entertaining, the kids enjoyed their time"
1," And when it comes to night time, it has a Light Show where people can watch it and it's pretty good from what I experience."
1,"I visited Millenial Light Show, where everything is filled with light and lots of 3D stuff"
1,Would love to visit this place again.
0,but I don't really recommend it because the price is more expensive and not tasty.
1,"Oh, they sell food and drinks inside, "
1,For sure I will come back here again. Oh they offer Ice Age area too 5 5.
1,There are many games for adults and children. 
1,You can also see  replicas of  super large dino bones. 
1,New experience for me. Very nice. 
1,Dino World is really cool. 
1,Go there n have fun
1,There are replica of dino n that was so awsome 
1,The place is very kind for kid and can be done by the children. 
1,That was amazing holiday
1,"Very pleasant tour, the place is very spacious, and the staff is really helpful and friendly."
1," Young children would love to see a lot of dinosaurs, playing laser maze, see Dino action, go to the rimba etc"
1,Supporting transportation to this tourist spot is very easy to find and the price is very affordable
1,It won't let you down. It won't.
1,very suitable for you who like photography. 
1," I also tried the 6D cinema, and it's nice."
1,it seems like a good idea if visiting this place during the day and not a peak season.
1,I think it's quite impressive. 
1,Overall the price is quite reasonable for a full day of exploration with families.
1,but mainly geared towards family with children as can be seen from the educational theme.
1, Fun Tech plaza is also nice
0,but 30% of the games are not operational (broken) and the queuing time can be long per games in high seasons
1, Circus magic is a short 
1,.but surprisingly fun
1,Music museum is also quite interesting with many famous singer statue inside to take pictures with. 
1, Jatim Park 3 it’s a great place to spent weekend with friends and family.
1, There are food stalls inside so you don’t have to worry about getting hungry or thirsty (it is also not allowed to bring food and drink from outside). 
1,"For a dino lover, this place is a must-visit"
1,The ticket is affordable (100k)
1,but you have to pay extra for some games
1,. I adore the main museum
0,but don't recommend the Dino Adventure
1,Better come during the low season as you may have to queue for some free adventure
1,You can find many kind of attraction in this place. 
1, So much fun in dino park
1, so much spots for photos in the legend's site.
1,"In dino park, you can play while learning about dinosaur, while in the legend,"
1," you can have so much great photos while learning about so many country, places, and public figures."
1,"Personally, i like everything about dinosour so i enjoyed here"
1, it is just a boring place.
1,Actually i like their idea 
0,the execution is kinda disappointing
1,Anyway its just worth to try visit here. 
1, catchy and instgramable photos
1, Have fun 
0,"but few things need to be improved,"
1, It's not a smoke-free place eventhough it's a place for family
1,but still stinky
1, The restroom is quite clean 
1,Other than that everything is great and recommended place to visit
1, Entrance to the place is really cheap
1,the foods are also cheap
1," the employees there is very polite towards us, well you get the point."
1,But the one that I don't like is the cleanliness of the toilet on the place.
0," It's quite dirty on some parts, and, well, it's not enough taken care of."
1,"overall, it's a excellent place, very good experience"
1,one of the excellent choice of public tourism.
0,"Nevertheless, it was really dissapointing"
0," The size of the area was quite small,"
0,"which showcased an amusement park with outdated and small-sized rides, themed with dinosaurs as the accessories"
0,It didn't boast dinosaurs as the main attractions and the glory of the dinosaurs era
0,not fun
0,dangerous with multiple steep ladders
1,"They have a mall, providing food and beverages such as Wendy's, Coffee Bean and Mixue"
1,you must try as apart your destination when you have vacation at Batu Malang
1,full of fun and challenge 
1,great view 
1,The whole trip was like in the jungle book movie
1," I didn't stop saying, masyaAllah, the trip was so good"
1,"Everyone is friendly starting from the owner, the person in charge at the meeting point, to the guide"
1,this turned out to be much more exciting
1,Very worth it 
1,"Worth the price,"
1,the best healing place and 1000% guarantee WILL BACK
1,The place is nice and still beautiful and the service is friendly 10 stars anyway
1, Assisted by good and experienced staff
1,the owner communicates in a friendly manner
1,Recommend for adventure activities 
1,"My son is very happy, wherever he goes he is looking for adventure activities like this"
1,quite challenging but very beautiful and stunning. 
1,"I like it, I like it and really want to invite friends to refresh here"
1," If you go to Batu, you will definitely come back with Batu Adventure"
1,good service
1,"fresh air and atmosphere,"
1,Nice view
1,quite challenging rafting route and fun friendly guide 
1,The trips are interesting packaged with a professional operator
1,Always success 
1,unforgtable memories with Batu Adventure 
1,Really recommended 
0,"dirty, arid, uncomfortable and don't have adequate parking space fascillities"
1,"plus the basecamp is super cozy,"
1,"The service is also friendly, "
1,guaranteed cheaper prices compared to other operators.
1, the view is good and safety
1,the guide is fun
1,Keep forward
1,Making our family comfortable even though Grandma is already 80 years old. 
1,the guide drove the jeep safely. 
1,Very good service   
1, A comfortable and safe way to go on an adventure in Batu. 
1,"It is highly recommended that if you want to have a vacation to Batu, don't forget to contact Batu Adventure."
1,Great
1,Recommended 
1,"friendly guide, very homey place. "
1,hope to come here again
1, The best. It's really worth it
1,the children were also happy 
1," the scenery during the trip was so beautiful, "
1,"decent prices with attractive facilities, good jobs for Batu Adventure "
1,hope to see you next time
1,"it's really exciting, it's quite safe for children aged 3 years too"
1,".good service, "
1," humble, ready to help direct us on this ATV."
1,fun location and recommended
1,"affordable prices, what matters is the quality  Siippp"
1," Imho, Dino park is the best for hanging out with kids."
1,slow jeep ride with not much explaination at stop points.
0,"Not recommended, apparently only through a third person, not directly to the owner, alias through brokers"
0, The ride was very shaky
0, not at all ever comfortable because the rocky path along the route
1,It's fun
1,Seeing traces of vomit from Mount Merapi 
1,"Friendly drivers, free routes to choose according to your favorite destination."
1,Get ready to have fun playing water in the river 
1,"I, as a Jogja tourism tour service, am very happy because of the recommendations for my guests"
